fid,ADE,GF,BSG,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,RS_0,AGS_0,WSK,DEBKG_ID
"24","4","4","1","05374","05374","053740012012",Oberbergischer Kreis,Kreis,"42",--,nein,"05","3","74","00","00","000",R,DEA2A,"053740000000","05374000",2009/01/01,DEBKGDL20000E6H4
"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8
"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454
"43","4","4","1","05913","05913","059130000000",Dortmund,Kreisfreie Stadt,"40",--,ja,"05","9","13","00","00","000",R,DEA52,"059130000000","05913000",1975/01/01,DEBKGDL20000E44H
"44","4","4","1","05914","05914","059140000000",Hagen,Kreisfreie Stadt,"40",--,ja,"05","9","14","00","00","000",R,DEA53,"059140000000","05914000",1999/02/01,DEBKGDL20000E1OJ
"45","4","4","1","05915","05915","059150000000",Hamm,Kreisfreie Stadt,"40",--,ja,"05","9","15","00","00","000",R,DEA54,"059150000000","05915000",2003/03/01,DEBKGDL20000DYN9
"47","4","4","1","05954","05954","059540024024",Ennepe-Ruhr-Kreis,Kreis,"42",--,nein,"05","9","54","00","00","000",R,DEA56,"059540000000","05954000",2009/01/01,DEBKGDL20000E45O
"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D
"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ
"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH
"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"53","4","4","1","05978","05978","059780036036",Unna,Kreis,"42",--,ja,"05","9","78","00","00","000",R,DEA5C,"059780000000","05978000",2009/01/01,DEBKGDL20000E367
