fid,station_id,date_from,date_to,altitude,latitude,longitude,name,state,t_level_0,t_index,t_altitude,t_total_prec_value,rvalue_1
"1","3098",1995-09-01,2021-03-19,"387",51.2452,7.6425,Lüdenscheid,Nordrhein-Westfalen,"40","40","387",336.8,388
"2","4127",2005-01-01,2021-03-19,"347",50.9906,7.6958,Reichshof-Eckenhagen,Nordrhein-Westfalen,"50","50","347",355,346.5
"3","5619",2004-12-01,2021-03-19,"360",51.1637,7.4234,Wipperfürth-Gardeweg,Nordrhein-Westfalen,"67","67","360",341.6,360.300018310547
"4","6313",2004-12-01,2021-03-19,"440",51.2488,7.4672,Breckerfeld-Wengeberg,Nordrhein-Westfalen,"74","74","440",386.9,439.899993896484
"5","13713",2007-11-01,2021-03-19,"386",51.0899,7.6289,Meinerzhagen-Redlendorf,Nordrhein-Westfalen,"86","86","386",402,387.800018310547
"6","613",2004-11-01,2021-03-19,"206",51.5677,9.2324,Borgentreich,Nordrhein-Westfalen,"6","6","206",392.3,205
"7","644",2005-01-01,2021-03-19,"150",51.7049,9.1738,Brakel,Nordrhein-Westfalen,"8","8","150",385.6,150.199996948242
"8","5347",1995-09-01,2021-03-19,"236",51.5039,9.1118,Warburg,Nordrhein-Westfalen,"62","62","236",367.3,236.100006103516
"9","934",2004-10-01,2021-03-19,"88",51.7835,8.5658,Delbrück,Nordrhein-Westfalen,"12","12","88",348.4,87.7000045776367
"10","3028",1995-09-01,2021-03-19,"157",51.7854,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen,"37","37","157",379.7,156.800003051758
"11","4313",2004-08-01,2021-03-19,"370",51.4966,8.4342,Rüthen,Nordrhein-Westfalen,"53","53","370",374.4,370.399993896484
"12","4368",2004-10-01,2021-03-19,"93",51.7098,8.5796,Salzkotten,Nordrhein-Westfalen,"54","54","93",345,92.0999984741211
"13","5699",2004-11-01,2021-03-19,"312",51.5427,8.7784,Wünnenberg-Eilern,Nordrhein-Westfalen,"68","68","312",334.8,311.700012207031
"14","13700",2008-05-01,2021-03-19,"205",51.3329,7.3411,Gevelsberg-Oberbröking,Nordrhein-Westfalen,"85","85","205",357.1,203.900009155273
"15","216",2004-10-01,2021-03-19,"298",51.1143,7.8807,Attendorn-Neulisternohl,Nordrhein-Westfalen,"0","0","298",311,298.100006103516
"16","1300",2004-06-01,2021-03-19,"351",51.254,8.1565,Eslohe,Nordrhein-Westfalen,"19","19","351",405.3,354.800018310547
"17","2483",1995-10-12,2021-03-19,"839",51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen,"29","29","839",492.8,838.5
"18","2947",2006-10-01,2021-03-19,"286",51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen,"34","34","286",287.6,287
"19","3215",2007-06-01,2021-03-19,"375",51.1683,8.7125,Medebach-Berge,Nordrhein-Westfalen,"41","41","375",288.2,374.899993896484
"20","4400",2004-08-01,2021-03-19,"171",51.5439,8.1808,"Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,"56","56","171",372.9,170.5
"21","4488",2006-08-01,2021-03-19,"443",51.2127,8.2672,Schmallenberg-Sellinghausen,Nordrhein-Westfalen,"57","57","443",369.9,441.800018310547
"22","5360",2007-07-01,2021-03-19,"331",51.4319,8.2665,Warstein-Hirschberg,Nordrhein-Westfalen,"63","63","331",442.2,337.600006103516
"23","6264",2004-06-01,2021-03-19,"457",51.414,8.65,Brilon-Thülen,Nordrhein-Westfalen,"72","72","457",385,457.300018310547
"24","7330",2005-10-01,2021-03-19,"159",51.4633,7.978,Arnsberg-Neheim,Nordrhein-Westfalen,"77","77","159",417.7,158.800003051758
"25","3499",2006-07-01,2021-03-19,"292",51.2915,7.853,Neuenrade-Blintrop,Nordrhein-Westfalen,"44","44","292",388.1,293.700012207031
"26","5468",2006-07-01,2020-10-01,"418",50.9377,7.8475,Wenden-Dörnscheid,Nordrhein-Westfalen,"64","64","418",341.9,416.800018310547
"27","389",2009-11-01,2021-03-19,"436",51.0148,8.4318,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen,"1","1","436",333.3,433.5
"28","390",2004-07-01,2021-03-19,"610",50.9837,8.3683,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen,"2","2","610",377.1,612.200012207031
"29","796",2004-11-01,2021-03-19,"412",50.7556,8.1257,Burbach-Würgendorf,Nordrhein-Westfalen,"9","9","412",416.5,413.399993896484
"30","4692",2008-03-01,2018-12-01,"229",50.8534,7.9966,Siegen (Kläranlage),Nordrhein-Westfalen,"58","58","229",325.3,229
"31","3031",2004-07-01,2021-03-19,"92",51.6336,8.3945,Lippstadt-Bökenförde,Nordrhein-Westfalen,"38","38","92",370.9,93.4000015258789
"32","5480",2003-09-10,2021-03-19,"85",51.5763,7.8879,Werl,Nordrhein-Westfalen,"65","65","85",285.4,84.5999984741211
"33","6276",2004-11-01,2019-11-02,"235",51.4895,7.7813,Fröndenberg-Hohenheide,Nordrhein-Westfalen,"73","73","235",337.2,235.100006103516
