station_id,date_from,date_to,altitude,latitude,longitude,name,state,fid,ADE,GF,BSG,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,RS_0,AGS_0,WSK,DEBKG_ID,t_altitude,t_total_prec_value,rvalue_1
"216",2004-10-01,2021-03-03,"298","51.114300000000000","7.880700000000000",Attendorn-Neulisternohl,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ,"298","311","298.100006103516"
"389",2009-11-01,2021-03-03,"436","51.014800000000001","8.431800000000001","Berleburg, Bad-Arfeld",Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH,"436","333.3","433.5"
"390",2004-07-01,2021-03-03,"610","50.983699999999999","8.368300000000000","Berleburg, Bad-Stünzel",Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH,"610","377.1","612.200012207031"
"613",2004-11-01,2021-03-03,"206","51.567700000000002","9.232400000000000",Borgentreich,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8,"206","392.3","205"
"644",2005-01-01,2021-03-03,"150","51.704900000000002","9.173800000000000",Brakel,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8,"150","385.6","150.199996948242"
"796",2004-11-01,2021-03-03,"412","50.755600000000001","8.125700000000000",Burbach-Würgendorf,Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH,"412","416.5","413.399993896484"
"934",2004-10-01,2021-03-03,"88","51.783499999999997","8.565799999999999",Delbrück,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454,"88","348.4","87.7000045776367"
"1300",2004-06-01,2021-03-03,"351","51.253999999999998","8.156499999999999",Eslohe,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"351","405.3","354.800018310547"
"2483",1995-10-12,2021-03-03,"839","51.180300000000003","8.489100000000001",Kahler Asten,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC,"839","492.8","838.5"
"2947",2006-10-01,2021-03-03,"286","51.133299999999998","8.034800000000001",Lennestadt-Theten,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ,"286","287.6","287"
"3028",1995-09-01,2021-03-03,"157","51.785400000000003","8.838800000000001","Lippspringe, Bad",Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454,"157","379.7","156.800003051758"
"3031",2004-07-01,2021-03-03,"92","51.633600000000001","8.394500000000001",Lippstadt-Bökenförde,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C,"92","370.9","93.4000015258789"
"3098",1995-09-01,2021-03-03,"387","51.245199999999997","7.642500000000000",Lüdenscheid,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D,"387","336.8","388"
